RUN	gatling.runner.ExampleSimulation		examplesimulation	1484412812725	 	2.0
USER	test	1	START	1484412812982	1484412812982
USER	test	2	START	1484412856240	1484412856240
USER	test	1	END	1484412812982	1484412857355
USER	test	2	END	1484412856240	1484412865618
USER	test	3	START	1484412856926	1484412856926
USER	test	3	END	1484412856926	1484412886539
USER	test	4	START	1484412882730	1484412882730
USER	test	4	END	1484412882730	1484412889829
USER	test	5	START	1484412886726	1484412886726
USER	test	5	END	1484412886726	1484412955555
