RUN	gatling.runner.ExampleSimulation		examplesimulation	1484415822393	 	2.0
USER	test	1	START	1484415822658	1484415822658
USER	test	2	START	1484415822936	1484415822936
USER	test	3	START	1484415822963	1484415822963
USER	test	4	START	1484415823032	1484415823032
USER	test	5	START	1484415823064	1484415823064
USER	test	1	END	1484415822658	1484415828126
USER	test	2	END	1484415822936	1484415828145
USER	test	3	END	1484415822963	1484415828247
USER	test	4	END	1484415823032	1484415828274
USER	test	5	END	1484415823064	1484415828274
