RUN	gatling.runner.ExampleSimulation		examplesimulation	1484415897272	 	2.0
USER	test	1	START	1484415897512	1484415897512
USER	test	2	START	1484415897773	1484415897773
USER	test	3	START	1484415897792	1484415897792
USER	test	4	START	1484415897813	1484415897813
USER	test	5	START	1484415897894	1484415897894
USER	test	1	END	1484415897512	1484415902958
USER	test	2	END	1484415897773	1484415902979
USER	test	3	END	1484415897792	1484415903000
USER	test	5	END	1484415897894	1484415903115
USER	test	4	END	1484415897813	1484415903125
